FECH;ADUA;PAIS;COD_PAI4;COD_SAL1;COD_SAL;DPTO2;VIA;BANDERA;REGIM;MODAD;FINALID;CER_ORI1;SISESP;POSAR;DPTO1;UNID;CODUNI2;CANTI;PBK;PNK;FOBDOL;FOBPES;AGRENA;FLETES;SEGURO;OTROSG
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;810905000;11;33;KG;816,80;1014,35;816,80;3186,00;14877791,64;0;3033,7;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;810909010;11;33;KG;6,00;7,45;6,00;30,00;140092,20;0;28,57;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;1;8;2;810909020;11;33;KG;5,00;6,20;5,00;19,00;88725,06;0;18,09;0;0
2302;3;023;DEU;3;BOG;11;7;827;1;2;2;8;2;7007210000;11;11;U;18,00;424,99;242,00;977,31;4669323,30;0;2925,42;54,3;0
2302;3;023;DEU;3;BOG;11;7;827;1;104;2;6;1;7007210000;11;11;U;2,00;233,00;104,00;760,56;3633750,32;518,99;859,95;76,05;0
2302;3;023;DEU;3;BOG;11;7;827;1;198;2;6;2;7007210000;11;11;U;1,00;113,00;53,00;925,99;4424130,20;0;1023;50;0
2302;3;023;DEU;3;BOG;11;8;618;1;198;1;6;1;603121000;11;11;U;7200,00;283,32;265,00;1368,00;6577535,52;1332,86;0;0;0
2302;3;023;DEU;3;BOG;11;8;618;1;198;1;6;1;603129000;11;11;U;11760,00;473,67;435,00;2184,80;10599757,71;2122,58;0;0;0
2302;3;023;DEU;3;BOG;11;8;618;1;198;1;6;2;603110000;11;11;U;2276,00;196,00;181,00;990,30;4918156,59;0;0;0;0
2302;3;023;DEU;3;BOG;11;8;618;1;198;1;8;1;603121000;11;11;U;22260,00;777,18;716,00;4205,20;19548713,24;4058,46;0;0;0
2302;3;023;DEU;3;BOG;11;8;618;1;198;1;8;1;603129000;11;11;U;49300,00;1700,79;1565,00;11052,04;51377618,33;10786,33;0;0;0
2302;3;023;DEU;3;BOG;11;8;618;1;198;1;8;2;603129000;11;11;U;15200,00;445,00;294,00;2508,00;11497775,52;0;0;0;0
2302;3;023;DEU;3;BOG;11;9;149;1;198;1;8;1;3305900000;11;33;KG;1481,48;1644,00;1481,48;7225,27;34509695,83;2194,41;3634;0,54;0
2302;3;023;DEU;3;BOG;11;9;169;1;198;1;6;1;603121000;11;11;U;3600,00;108,61;99,00;420,48;2008939,91;400,33;0;0;16,74
2302;3;023;DEU;3;BOG;11;9;169;1;198;1;6;1;603129000;11;11;U;57220,00;1925,38;1755,00;7339,00;35063760,47;7028,81;0;0;292,26
